,PAPEL HIGIENICO,LOJAS ADQUIRIDAS LIMPEZA,SABAO EM PO,SABAO BARRA,SABAO LIQUIDO,LIMPEZA ROUPA,AGUA SANITARIA,ALVEJANTE/TIRA MANCHAS,CLORO/PISCINA,DETERGENTE LIQUIDO,LIMPEZA ESPECIFICA/POLIDORES,SAPONACEO,COZINHA/CAUSTICO,LAS DE ACO,ESPONJA SINTETICA,PROD. P/MAQUINA LAVAR LOUCA,DESINFETANTES,DESENGORDURANTE,CONCENTRADO LIMPEZA,ALCOOL,PRODUTOS LIMPEZA BANHEIRO,LIMPA VIDROS,PURIFICADOR AR/ROUPA,DESODORIZADOR SANITARIO,CERA P/ASSOALHOS,LIMPADORES C/BRILHO,LUSTRA MOVEIS,PROTECAO SAPATO,LIMPA CARPETE,REPELENTE INSETO/COSMETICO,EVITA MOFO,INSETICIDAS,SACO P/LIXO,VASSOURA,ACESSORIOS LIMPEZA/BAZAR,PANOS LIMPEZA,PRENDEDOR/ VARAL,AMACIANTE CONCENTRADO,AMACIANTE DILUIDO,LUVAS,LENCO HIGIENICO UMEDECIDO,(DESATIVADA)AMACIANTE,cluster_dem
27,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
43,1,0,2,1,1,2,2,1,2,2,1,0,1,2,1,1,0,0,2,1,1,0,1,1,2,1,0,1,1,1,1,0,1,1,1,0,1,1,2,1,2,0,1
51,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
78,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
94,0,0,0,0,0,0,1,0,1,1,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
108,2,0,4,2,2,2,2,2,2,4,1,3,3,3,2,2,2,2,3,2,4,3,2,2,3,2,3,3,2,1,2,0,4,2,3,2,2,3,3,3,1,0,0
116,1,1,1,1,1,1,2,1,2,2,3,2,1,2,1,1,2,0,2,1,2,1,1,1,1,1,0,1,0,2,3,0,2,1,1,0,1,1,1,1,2,0,1
124,2,3,3,3,3,2,3,3,3,3,1,1,4,3,3,3,3,3,3,3,3,2,2,3,2,3,4,1,2,3,4,2,3,3,2,2,2,3,3,2,3,1,1
167,1,4,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,2,2,1,1,1,0,1,1,1,0,1,1,0,1,2,0,2
175,1,1,1,0,2,2,2,2,2,2,1,2,1,0,1,2,2,0,2,1,2,1,2,2,1,2,0,1,1,2,2,0,2,1,1,0,1,2,1,1,1,0,1
183,1,0,1,0,2,3,2,2,0,2,1,0,1,0,1,2,2,0,2,1,2,1,2,2,1,2,3,1,1,1,2,0,2,1,2,3,1,2,1,1,1,0,2
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
205,1,0,0,0,1,1,0,1,0,0,3,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,2,2,0,2,1,0,1,0,1,0,0,1,0,1,1,0,1
213,0,0,0,0,0,1,1,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
221,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1
230,1,0,2,0,2,2,2,2,0,2,1,2,1,2,1,2,2,0,2,1,1,1,1,1,0,1,3,1,2,0,2,0,2,1,1,3,0,2,1,1,1,0,0
248,1,2,0,0,1,2,0,1,0,0,1,0,1,0,1,1,2,0,2,1,1,1,1,1,0,1,0,2,1,0,3,0,1,1,1,0,1,1,0,1,1,0,2
256,0,0,0,0,0,0,1,0,0,1,2,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
264,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,2,2,0,0,1,1,0,0,0,0,0,1,1,0,2,0,2
272,1,0,1,0,1,1,2,1,0,2,3,0,0,2,1,1,2,0,2,1,1,1,1,1,1,0,0,2,0,1,3,0,1,1,1,0,1,1,2,1,2,0,1
299,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1
140,0,0,0,0,0,0,1,0,1,1,2,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
